age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
55,retired,married,primary,no,-966,no,yes,cellular,14,may,104,1,-1,0,unknown,no
45,blue-collar,married,primary,no,2128,yes,no,unknown,19,may,149,4,-1,0,unknown,no
46,housemaid,married,primary,no,19,yes,no,telephone,21,jul,171,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,-346,yes,yes,unknown,23,may,29,3,-1,0,unknown,no
34,technician,married,tertiary,no,544,yes,yes,cellular,18,nov,58,2,-1,0,unknown,no
35,admin.,divorced,secondary,no,3636,no,yes,cellular,21,nov,808,2,-1,0,unknown,yes
59,admin.,divorced,secondary,no,174,yes,no,unknown,16,may,204,1,-1,0,unknown,no
37,technician,married,secondary,no,1063,yes,no,cellular,31,jul,413,2,-1,0,unknown,no
60,admin.,married,secondary,no,3735,no,no,cellular,22,dec,190,1,188,9,success,yes
37,blue-collar,single,primary,no,6969,yes,no,unknown,20,may,412,1,-1,0,unknown,no
53,entrepreneur,married,tertiary,no,22370,yes,no,unknown,15,may,106,1,-1,0,unknown,no
23,services,single,tertiary,no,363,yes,no,unknown,30,may,16,18,-1,0,unknown,no
42,blue-collar,married,secondary,no,230,yes,no,unknown,5,jun,175,7,-1,0,unknown,no
47,services,married,secondary,no,2,no,yes,cellular,21,jul,71,15,-1,0,unknown,no
45,self-employed,married,secondary,no,3098,yes,no,cellular,7,aug,159,2,-1,0,unknown,no
40,services,married,secondary,no,1438,yes,no,cellular,6,may,207,1,351,2,failure,no
45,blue-collar,married,secondary,no,192,yes,no,cellular,13,may,154,5,176,1,other,no
58,blue-collar,divorced,secondary,no,543,no,yes,telephone,17,jul,264,3,-1,0,unknown,no
49,management,single,secondary,no,61,yes,no,cellular,29,jan,185,2,246,1,failure,no
31,services,married,secondary,no,440,yes,no,unknown,17,jun,117,3,-1,0,unknown,no
51,management,married,tertiary,no,-892,yes,yes,cellular,14,aug,248,2,-1,0,unknown,no
58,blue-collar,married,primary,no,0,yes,no,unknown,29,may,535,2,-1,0,unknown,no
29,services,divorced,secondary,no,330,yes,no,unknown,12,may,88,2,-1,0,unknown,no
27,blue-collar,single,primary,no,-179,yes,no,cellular,15,may,54,2,-1,0,unknown,no
50,blue-collar,married,secondary,no,606,yes,no,unknown,14,may,673,2,-1,0,unknown,no
46,management,divorced,tertiary,no,624,no,no,cellular,17,sep,336,2,183,2,success,yes
55,management,married,tertiary,no,6880,no,no,cellular,8,aug,353,2,-1,0,unknown,no
50,entrepreneur,married,secondary,no,806,yes,yes,cellular,7,may,141,8,297,2,other,no
31,technician,married,secondary,no,660,no,no,cellular,22,jun,115,1,-1,0,unknown,no
32,management,single,tertiary,no,11797,yes,no,cellular,11,aug,95,2,-1,0,unknown,no
55,entrepreneur,married,secondary,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown,no
37,technician,married,secondary,no,64,yes,no,cellular,12,may,239,4,278,2,other,no
35,technician,single,tertiary,no,3552,no,no,cellular,21,nov,267,1,-1,0,unknown,no
32,technician,divorced,secondary,no,202,yes,no,cellular,4,feb,429,1,201,1,failure,no
45,unknown,married,primary,no,44,no,no,unknown,11,jun,81,1,-1,0,unknown,no
36,management,single,tertiary,no,2806,yes,no,unknown,30,may,358,4,-1,0,unknown,no
39,technician,married,tertiary,no,209,no,no,unknown,23,jul,36,2,-1,0,unknown,no
35,services,single,secondary,no,35,yes,no,cellular,14,may,152,1,-1,0,unknown,no
36,services,married,secondary,no,257,yes,no,cellular,12,may,86,2,-1,0,unknown,no
34,services,married,secondary,no,0,yes,no,cellular,14,jul,78,4,-1,0,unknown,no
32,management,divorced,tertiary,no,883,yes,no,cellular,10,dec,798,1,185,5,other,yes
26,management,married,tertiary,no,265,no,no,cellular,30,jan,650,2,-1,0,unknown,no
38,management,divorced,secondary,no,-17,no,no,cellular,21,nov,11,4,-1,0,unknown,no
32,admin.,single,secondary,no,116,no,yes,cellular,16,jul,255,2,-1,0,unknown,no
40,self-employed,married,secondary,no,167,yes,yes,cellular,8,may,380,4,295,1,failure,no
24,blue-collar,single,secondary,no,77,yes,no,unknown,16,may,236,2,-1,0,unknown,no
33,technician,married,secondary,no,4790,yes,no,cellular,20,apr,137,1,272,2,failure,no
41,blue-collar,single,secondary,no,428,yes,no,cellular,12,may,92,1,-1,0,unknown,no
32,technician,single,secondary,no,271,yes,no,cellular,13,may,80,2,268,2,other,no
27,services,married,secondary,no,100,no,no,cellular,16,jul,57,2,-1,0,unknown,no
35,technician,married,secondary,no,2189,no,no,cellular,19,nov,256,3,-1,0,unknown,no
58,technician,married,primary,no,4015,no,no,unknown,20,jun,106,3,-1,0,unknown,no
32,technician,married,secondary,no,266,yes,no,cellular,19,aug,168,2,-1,0,unknown,no
35,management,married,tertiary,no,2793,no,no,cellular,20,nov,258,2,-1,0,unknown,no
37,technician,married,secondary,no,1633,yes,no,unknown,19,may,229,3,-1,0,unknown,no
34,management,married,secondary,no,-294,yes,no,unknown,27,may,532,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,198,yes,no,unknown,9,may,400,2,-1,0,unknown,no
42,blue-collar,married,primary,no,0,yes,no,cellular,17,jul,71,1,-1,0,unknown,no
30,technician,single,tertiary,no,-970,no,yes,cellular,21,aug,194,2,-1,0,unknown,no
32,entrepreneur,married,primary,no,795,no,no,cellular,8,aug,131,3,-1,0,unknown,no
27,services,single,secondary,no,795,no,no,cellular,6,feb,101,3,-1,0,unknown,no
57,blue-collar,married,secondary,no,1521,yes,yes,cellular,18,may,102,2,178,5,failure,no
59,retired,married,unknown,no,0,no,no,unknown,8,may,425,6,-1,0,unknown,no
27,blue-collar,single,secondary,no,23,no,no,cellular,26,feb,590,2,-1,0,unknown,no
52,entrepreneur,divorced,primary,no,278,yes,no,unknown,7,may,688,2,-1,0,unknown,no
55,blue-collar,married,primary,no,1086,yes,no,cellular,6,may,146,1,272,2,failure,no
32,admin.,single,secondary,no,620,yes,no,unknown,26,may,1234,3,-1,0,unknown,yes
29,technician,married,secondary,no,1599,yes,no,cellular,8,jul,115,1,61,1,failure,no
36,technician,married,tertiary,no,629,yes,yes,cellular,29,dec,109,1,246,1,failure,no
39,technician,married,secondary,no,501,no,no,unknown,26,may,289,1,-1,0,unknown,no
51,blue-collar,divorced,primary,no,-28,no,yes,unknown,2,jul,220,2,-1,0,unknown,no
44,technician,divorced,secondary,no,0,no,no,cellular,28,jul,264,5,-1,0,unknown,no
35,management,single,tertiary,no,252,yes,no,cellular,8,aug,89,2,-1,0,unknown,no
41,services,married,unknown,no,88,yes,no,cellular,11,may,105,1,336,2,failure,no
32,services,single,secondary,no,-402,yes,no,cellular,17,apr,135,1,-1,0,unknown,no
30,student,single,secondary,no,25,no,no,telephone,30,apr,44,1,-1,0,unknown,no
33,blue-collar,married,primary,no,3074,no,no,cellular,18,nov,679,1,-1,0,unknown,no
52,technician,married,secondary,no,196,yes,yes,cellular,24,feb,116,1,273,3,failure,no
57,admin.,divorced,unknown,no,887,no,no,unknown,20,jun,43,8,-1,0,unknown,no
29,management,single,tertiary,no,3357,no,no,cellular,21,jul,120,3,-1,0,unknown,no
31,technician,married,secondary,no,171,no,no,cellular,27,aug,81,3,-1,0,unknown,no
34,management,married,tertiary,no,4831,yes,no,cellular,4,feb,265,1,-1,0,unknown,no
28,blue-collar,single,secondary,no,3412,yes,no,cellular,15,may,22,4,-1,0,unknown,no
39,technician,married,secondary,no,116,no,no,cellular,24,aug,79,2,94,2,success,no
41,blue-collar,married,primary,no,7735,yes,no,cellular,20,nov,220,1,190,1,failure,no
33,self-employed,married,tertiary,no,263,no,no,cellular,4,may,119,2,-1,0,unknown,no
60,retired,divorced,unknown,no,-49,yes,no,cellular,29,jan,188,1,261,2,failure,no
33,management,married,secondary,no,3132,yes,no,unknown,23,may,350,5,-1,0,unknown,no
32,technician,single,tertiary,no,1059,yes,no,cellular,17,apr,115,1,-1,0,unknown,no
77,retired,married,primary,no,680,no,no,telephone,24,feb,513,2,89,7,failure,no
72,blue-collar,married,primary,no,4415,no,no,telephone,13,oct,120,1,-1,0,unknown,no
40,management,married,tertiary,no,1734,yes,no,unknown,2,jun,169,1,-1,0,unknown,no
27,blue-collar,divorced,secondary,no,1,yes,no,cellular,14,jul,116,3,-1,0,unknown,no
35,blue-collar,married,secondary,no,243,yes,no,cellular,20,apr,41,3,-1,0,unknown,no
