age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,blue-collar,single,secondary,yes,4,yes,no,unknown,23,may,84,3,-1,0,unknown,no
31,services,married,secondary,no,1062,yes,yes,cellular,6,apr,230,1,-1,0,unknown,no
42,blue-collar,single,primary,no,1322,yes,yes,cellular,8,jul,178,1,-1,0,unknown,no
30,management,single,tertiary,no,424,no,no,cellular,16,apr,298,4,-1,0,unknown,yes
27,student,single,tertiary,no,-148,yes,no,cellular,11,sep,146,3,224,1,other,no
49,blue-collar,married,primary,no,1019,yes,no,cellular,16,apr,285,5,-1,0,unknown,no
50,blue-collar,divorced,secondary,no,203,yes,no,telephone,19,nov,265,1,127,4,other,no
32,blue-collar,single,secondary,no,811,yes,no,cellular,14,may,563,1,-1,0,unknown,yes
30,services,single,secondary,no,334,no,no,cellular,29,jan,389,2,-1,0,unknown,no
45,management,married,tertiary,no,5450,no,no,cellular,8,aug,188,2,-1,0,unknown,no
36,technician,divorced,tertiary,no,1174,yes,no,cellular,18,nov,192,2,-1,0,unknown,no
33,management,married,tertiary,no,273,yes,no,unknown,16,may,803,1,-1,0,unknown,yes
37,technician,single,secondary,no,61,yes,no,unknown,19,may,182,8,-1,0,unknown,no
45,technician,married,secondary,no,118,yes,no,unknown,7,may,208,2,-1,0,unknown,no
43,blue-collar,married,primary,no,-93,yes,no,unknown,26,may,402,2,-1,0,unknown,no
40,management,married,tertiary,no,-7,no,yes,telephone,25,jul,697,1,-1,0,unknown,no
46,management,married,tertiary,no,1375,yes,no,cellular,17,nov,308,3,-1,0,unknown,no
23,blue-collar,single,unknown,no,817,yes,no,cellular,18,may,123,1,-1,0,unknown,no
28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,sep,199,1,92,14,success,yes
71,retired,divorced,tertiary,no,261,no,no,cellular,12,aug,1117,2,-1,0,unknown,no
33,self-employed,single,tertiary,no,61,no,no,cellular,19,aug,836,3,-1,0,unknown,yes
41,blue-collar,single,unknown,no,4684,no,no,unknown,20,jun,30,6,-1,0,unknown,no
48,technician,married,tertiary,no,9207,no,no,cellular,18,aug,445,3,-1,0,unknown,no
30,management,married,tertiary,no,562,no,no,cellular,21,aug,137,4,-1,0,unknown,no
31,blue-collar,married,secondary,no,1495,yes,yes,unknown,23,may,159,3,-1,0,unknown,no
30,unknown,single,tertiary,no,6836,no,no,cellular,27,feb,30,3,-1,0,unknown,no
59,admin.,married,secondary,no,92,yes,no,cellular,12,may,139,2,350,1,failure,no
23,student,single,secondary,no,8494,no,no,cellular,25,aug,158,2,-1,0,unknown,no
60,management,single,tertiary,no,0,no,yes,cellular,23,jul,151,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,1354,yes,yes,cellular,17,nov,222,2,-1,0,unknown,no
49,unemployed,married,tertiary,no,-471,yes,no,cellular,20,nov,77,3,185,7,failure,no
55,retired,married,secondary,no,1467,no,yes,cellular,29,jul,277,2,-1,0,unknown,no
42,management,married,tertiary,no,0,no,no,cellular,13,aug,325,2,-1,0,unknown,no
33,management,married,secondary,no,4040,yes,no,cellular,20,apr,132,2,-1,0,unknown,no
70,retired,married,secondary,no,1164,no,no,telephone,14,may,338,3,185,2,failure,no
35,entrepreneur,single,secondary,no,475,no,yes,cellular,21,jul,936,4,-1,0,unknown,no
34,blue-collar,married,secondary,no,2542,yes,no,cellular,14,may,228,1,-1,0,unknown,no
39,blue-collar,married,primary,no,1506,yes,no,cellular,11,may,299,2,-1,0,unknown,no
29,blue-collar,married,secondary,no,-478,no,yes,cellular,8,jul,528,2,-1,0,unknown,no
33,technician,divorced,tertiary,no,39,no,no,cellular,19,aug,123,5,-1,0,unknown,no
44,unemployed,married,tertiary,no,178,no,no,cellular,8,aug,126,2,-1,0,unknown,no
27,services,single,secondary,no,-124,no,no,cellular,18,jul,217,1,-1,0,unknown,no
44,management,single,tertiary,no,5063,no,no,cellular,27,oct,418,2,-1,0,unknown,yes
31,management,single,tertiary,no,874,yes,no,cellular,18,nov,190,2,-1,0,unknown,no
51,admin.,single,tertiary,no,16,yes,no,cellular,30,jan,158,1,-1,0,unknown,no
37,management,married,tertiary,no,767,no,yes,cellular,2,feb,204,1,-1,0,unknown,no
49,retired,married,primary,no,1672,no,no,cellular,17,jul,128,3,-1,0,unknown,no
59,admin.,married,secondary,no,2381,no,no,cellular,30,apr,173,2,-1,0,unknown,no
67,retired,married,unknown,no,696,no,no,telephone,4,may,77,2,-1,0,unknown,no
36,management,single,tertiary,no,553,no,no,cellular,11,aug,106,2,-1,0,unknown,no
43,unknown,married,tertiary,no,1937,no,no,unknown,19,jun,385,1,-1,0,unknown,no
38,self-employed,married,secondary,no,279,yes,no,unknown,28,may,110,5,-1,0,unknown,no
61,management,married,tertiary,no,997,no,no,cellular,10,mar,106,1,-1,0,unknown,yes
46,management,married,secondary,no,12186,no,no,unknown,20,jun,29,3,-1,0,unknown,no
33,self-employed,married,secondary,no,215,yes,no,cellular,29,jul,543,12,-1,0,unknown,no
25,student,married,tertiary,no,10,yes,no,cellular,21,jul,857,4,-1,0,unknown,yes
33,blue-collar,married,secondary,no,26,yes,no,cellular,17,apr,342,3,332,1,other,no
57,retired,married,primary,no,808,no,no,telephone,7,jul,274,1,-1,0,unknown,no
50,technician,married,tertiary,no,199,yes,yes,cellular,3,feb,116,2,253,1,failure,no
63,retired,married,primary,no,1084,no,no,cellular,14,oct,201,1,183,1,success,no
50,management,married,secondary,yes,421,no,no,cellular,20,nov,22,5,-1,0,unknown,no
59,retired,married,unknown,no,1033,no,no,unknown,11,jun,1199,1,-1,0,unknown,yes
54,unknown,married,unknown,no,2508,no,no,unknown,20,jun,34,8,-1,0,unknown,no
31,management,married,tertiary,no,1010,yes,no,cellular,15,may,385,3,364,9,other,no
25,student,single,secondary,no,1116,yes,no,cellular,2,mar,170,3,-1,0,unknown,no
48,management,married,secondary,no,117,yes,no,cellular,16,apr,635,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,1660,yes,no,cellular,20,apr,342,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,22,no,no,cellular,30,jan,76,2,207,1,failure,no
29,student,single,unknown,no,145,no,no,cellular,14,aug,105,1,-1,0,unknown,no
39,self-employed,married,secondary,no,235,no,no,unknown,9,jun,217,1,-1,0,unknown,no
49,services,married,secondary,no,66,yes,yes,cellular,21,nov,59,4,-1,0,unknown,no
51,self-employed,married,primary,no,307,yes,yes,unknown,17,jun,65,2,-1,0,unknown,no
50,self-employed,married,secondary,no,36,no,no,cellular,13,aug,104,10,-1,0,unknown,no
27,blue-collar,single,primary,no,-79,yes,no,unknown,30,may,385,5,-1,0,unknown,no
33,technician,divorced,secondary,no,9,no,no,cellular,21,aug,91,2,-1,0,unknown,no
29,technician,single,tertiary,no,218,yes,no,cellular,12,apr,169,1,-1,0,unknown,no
53,housemaid,married,primary,no,2581,no,no,cellular,15,apr,99,1,-1,0,unknown,no
31,housemaid,single,tertiary,no,287,yes,no,cellular,19,nov,182,1,-1,0,unknown,no
50,management,married,tertiary,no,4374,yes,no,cellular,21,nov,163,2,113,3,failure,no
34,admin.,married,secondary,no,5320,no,no,cellular,3,mar,114,6,467,5,other,no
37,management,married,tertiary,no,0,no,no,cellular,16,jul,268,2,182,3,success,yes
44,management,divorced,tertiary,no,2058,no,yes,cellular,21,nov,661,1,-1,0,unknown,no
39,entrepreneur,married,tertiary,no,2644,yes,no,unknown,20,may,253,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,1925,yes,no,cellular,2,mar,76,2,-1,0,unknown,no
38,services,divorced,secondary,no,792,no,no,unknown,6,jun,430,1,-1,0,unknown,no
43,admin.,married,secondary,no,0,yes,no,cellular,17,jul,674,3,-1,0,unknown,no
48,technician,married,secondary,no,5,no,no,unknown,9,jun,65,6,-1,0,unknown,no
47,entrepreneur,married,tertiary,no,459,yes,no,cellular,29,jul,189,4,-1,0,unknown,no
36,management,married,tertiary,no,254,no,no,unknown,6,jun,161,3,-1,0,unknown,no
58,admin.,married,secondary,no,2,yes,yes,telephone,25,jul,282,9,-1,0,unknown,no
48,blue-collar,single,secondary,no,312,yes,yes,cellular,3,feb,369,2,-1,0,unknown,no
56,admin.,married,secondary,no,1504,yes,no,unknown,29,may,66,2,-1,0,unknown,no
45,blue-collar,married,secondary,no,2926,yes,yes,cellular,19,nov,482,3,120,2,failure,no
39,services,divorced,secondary,no,687,yes,no,cellular,9,jul,869,1,-1,0,unknown,yes
54,management,married,primary,no,3859,no,yes,cellular,20,nov,104,3,-1,0,unknown,no
31,technician,single,secondary,no,40,no,no,cellular,7,aug,123,2,-1,0,unknown,no
31,admin.,single,secondary,no,-449,yes,no,unknown,28,may,81,2,-1,0,unknown,no
40,services,married,secondary,no,4157,yes,no,unknown,15,may,735,1,-1,0,unknown,no
48,technician,married,secondary,no,197,no,yes,cellular,3,feb,47,2,222,3,other,no
32,technician,single,tertiary,no,569,no,yes,cellular,29,jan,348,1,-1,0,unknown,no
44,management,married,secondary,no,576,yes,no,unknown,8,may,128,3,-1,0,unknown,no
34,blue-collar,married,secondary,no,-563,yes,no,unknown,26,may,252,1,-1,0,unknown,no
26,housemaid,married,tertiary,no,543,no,no,cellular,30,jan,169,3,-1,0,unknown,no
34,self-employed,married,tertiary,no,263,no,no,cellular,4,may,203,1,78,8,other,no
32,blue-collar,married,secondary,no,119,no,no,cellular,4,may,20,5,-1,0,unknown,no
42,management,married,secondary,no,-189,yes,no,unknown,12,may,247,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,1831,yes,no,unknown,20,may,203,2,-1,0,unknown,no
44,management,married,tertiary,no,1242,yes,no,cellular,6,aug,384,6,-1,0,unknown,no
31,management,married,tertiary,no,2603,yes,no,cellular,11,feb,280,4,-1,0,unknown,yes
34,technician,single,tertiary,no,144,yes,yes,cellular,14,oct,104,1,85,19,failure,no
34,blue-collar,divorced,unknown,no,172,no,no,cellular,15,jun,177,1,-1,0,unknown,yes
47,admin.,married,secondary,no,1060,yes,no,unknown,6,jun,83,3,-1,0,unknown,no
60,admin.,married,secondary,no,-396,yes,no,cellular,11,may,443,1,350,1,failure,no
35,admin.,divorced,secondary,no,-402,yes,no,cellular,17,apr,46,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,1670,yes,no,cellular,18,may,183,1,-1,0,unknown,no
47,admin.,married,secondary,no,3676,no,no,cellular,18,oct,567,1,95,3,success,yes
36,blue-collar,single,primary,no,1313,yes,no,unknown,20,jun,8,10,-1,0,unknown,no
56,technician,married,secondary,no,4073,no,no,cellular,27,aug,239,5,-1,0,unknown,no
26,admin.,single,secondary,no,802,no,no,cellular,30,jan,77,1,2,2,other,no
60,blue-collar,married,secondary,no,1801,no,no,telephone,29,oct,167,1,-1,0,unknown,no
29,blue-collar,married,secondary,no,125,yes,no,unknown,13,may,50,1,-1,0,unknown,no
33,management,single,tertiary,no,3170,no,no,cellular,28,oct,246,2,-1,0,unknown,no
37,technician,married,unknown,no,189,no,no,cellular,1,oct,238,1,107,2,success,yes
51,self-employed,married,secondary,yes,34,no,yes,cellular,7,jul,200,1,-1,0,unknown,no
42,self-employed,divorced,tertiary,no,216,yes,no,cellular,8,may,144,3,-1,0,unknown,no
59,management,married,tertiary,no,0,no,no,cellular,27,aug,87,4,-1,0,unknown,no
56,housemaid,divorced,primary,yes,1238,no,no,unknown,5,jun,1558,1,-1,0,unknown,yes
45,management,married,tertiary,no,-192,yes,no,cellular,6,may,138,3,-1,0,unknown,no
60,retired,married,primary,no,55,no,no,cellular,4,jun,207,1,-1,0,unknown,no
29,self-employed,married,tertiary,no,3931,yes,no,unknown,3,jun,73,4,-1,0,unknown,no
31,technician,single,unknown,no,187,no,no,cellular,17,jul,86,1,-1,0,unknown,no
34,admin.,married,tertiary,no,37,no,no,cellular,6,feb,45,1,-1,0,unknown,no
33,blue-collar,married,primary,no,191,yes,no,unknown,9,may,162,2,-1,0,unknown,no
33,management,single,tertiary,no,99,no,no,cellular,8,jul,159,1,-1,0,unknown,no
54,admin.,married,secondary,no,0,no,no,cellular,28,jan,161,1,98,2,failure,yes
35,admin.,single,secondary,no,0,yes,no,cellular,13,may,1073,1,-1,0,unknown,yes
51,retired,divorced,secondary,no,343,yes,no,unknown,30,may,78,2,-1,0,unknown,no
57,blue-collar,married,primary,no,452,yes,no,unknown,13,may,139,4,-1,0,unknown,no
41,technician,married,secondary,no,902,no,no,unknown,16,jun,35,6,-1,0,unknown,no
27,services,single,secondary,no,0,yes,no,unknown,7,may,388,7,-1,0,unknown,no
43,self-employed,married,tertiary,no,64,no,no,unknown,6,jun,230,2,-1,0,unknown,no
50,self-employed,married,tertiary,no,4012,no,no,cellular,19,nov,690,3,-1,0,unknown,no
32,management,married,secondary,no,3935,yes,no,unknown,29,may,129,2,-1,0,unknown,no
57,blue-collar,married,secondary,no,2887,no,no,cellular,21,aug,819,10,-1,0,unknown,yes
61,management,married,secondary,no,967,no,no,cellular,20,aug,180,1,-1,0,unknown,no
28,technician,single,tertiary,no,102,no,no,cellular,28,jan,321,2,-1,0,unknown,no
48,unemployed,married,primary,no,5462,no,no,unknown,6,jun,29,4,-1,0,unknown,no
31,management,single,tertiary,no,1494,no,no,cellular,13,aug,275,12,-1,0,unknown,no
36,management,married,tertiary,no,1477,no,no,cellular,7,aug,71,2,-1,0,unknown,no
55,unemployed,married,tertiary,no,4809,yes,no,cellular,21,nov,223,2,186,3,other,no
53,admin.,married,secondary,no,459,no,no,cellular,14,oct,317,6,192,1,success,no
49,self-employed,married,secondary,no,1103,no,no,cellular,12,aug,428,2,-1,0,unknown,no
52,technician,divorced,secondary,no,204,no,no,cellular,7,aug,134,2,-1,0,unknown,no
55,blue-collar,married,unknown,no,23,no,no,cellular,13,aug,123,2,-1,0,unknown,no
38,services,married,secondary,no,1,no,yes,cellular,21,nov,152,2,-1,0,unknown,no
31,blue-collar,married,secondary,no,360,yes,yes,cellular,29,jan,89,1,241,1,failure,no
42,blue-collar,married,secondary,no,3068,yes,yes,cellular,11,may,429,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,326,yes,yes,cellular,7,jul,112,1,-1,0,unknown,no
22,technician,single,secondary,no,333,no,yes,telephone,12,nov,129,1,-1,0,unknown,no
46,blue-collar,married,primary,no,1291,yes,no,cellular,14,may,142,3,259,17,failure,no
56,management,married,secondary,no,238,yes,no,cellular,19,nov,808,1,-1,0,unknown,no
42,services,married,secondary,no,-246,yes,no,unknown,7,may,149,1,-1,0,unknown,no
31,admin.,married,secondary,no,0,yes,no,unknown,14,may,40,2,-1,0,unknown,no
30,student,single,tertiary,no,7513,no,no,cellular,11,aug,269,2,-1,0,unknown,no
46,services,married,secondary,no,2420,no,no,cellular,19,nov,405,2,-1,0,unknown,no
31,technician,single,secondary,no,433,no,no,cellular,11,aug,1504,2,-1,0,unknown,no
28,student,single,secondary,no,459,no,no,cellular,16,mar,83,13,-1,0,unknown,no
31,blue-collar,married,primary,no,0,yes,yes,unknown,12,may,59,4,-1,0,unknown,no
37,services,divorced,secondary,no,490,yes,no,cellular,2,feb,73,1,-1,0,unknown,no
48,management,married,secondary,no,99,yes,no,unknown,28,may,344,1,-1,0,unknown,no
26,blue-collar,married,secondary,no,128,no,no,unknown,4,jul,355,1,-1,0,unknown,no
31,blue-collar,married,primary,no,352,yes,no,unknown,19,may,97,9,-1,0,unknown,no
53,management,married,unknown,no,2240,yes,no,cellular,2,jun,282,2,385,1,success,yes
51,admin.,divorced,secondary,no,340,yes,no,unknown,8,may,186,1,-1,0,unknown,no
58,management,single,tertiary,no,2,yes,no,telephone,11,may,168,3,-1,0,unknown,no
40,admin.,divorced,secondary,no,6,no,no,unknown,11,jun,140,1,-1,0,unknown,no
30,management,single,tertiary,no,2186,yes,no,unknown,3,jun,366,1,-1,0,unknown,no
33,unemployed,married,tertiary,no,302,yes,yes,cellular,16,apr,670,1,-1,0,unknown,no
51,housemaid,married,unknown,no,174,no,no,telephone,29,jul,308,3,-1,0,unknown,no
59,self-employed,married,tertiary,no,3800,no,yes,cellular,9,jul,70,1,-1,0,unknown,no
25,entrepreneur,single,tertiary,no,16874,yes,yes,cellular,15,may,117,2,-1,0,unknown,no
37,entrepreneur,married,tertiary,no,836,yes,no,unknown,27,may,129,2,-1,0,unknown,no
28,management,married,tertiary,no,3694,no,yes,cellular,8,jul,70,2,-1,0,unknown,no
37,services,married,secondary,no,658,yes,no,telephone,23,jul,175,1,-1,0,unknown,no
42,blue-collar,single,secondary,no,1080,yes,yes,cellular,13,may,951,3,370,4,failure,yes
58,retired,single,primary,no,6570,no,no,cellular,21,jul,106,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,137,no,yes,cellular,18,jul,305,12,-1,0,unknown,no
59,management,married,secondary,no,42,no,no,cellular,21,nov,40,1,-1,0,unknown,no
51,blue-collar,married,primary,no,1466,yes,no,unknown,7,may,406,2,-1,0,unknown,no
24,management,single,tertiary,no,172,no,no,cellular,3,jul,67,2,-1,0,unknown,no
